groupId,memberId,memberIds,name,amount
1,4,"[]",Groceries,725.84
1,2,"[]",Transport,400.93
1,4,"[]",Transport,982.24
1,2,"[]",Transport,465.08
1,2,"[]",Dinner,726.36
1,3,"[]",Gas,51.89
1,2,"[]",Electricity Bill,725.54
1,1,"[]",Groceries,363.91
1,2,"[]",Dinner,8.47
1,3,"[]",Groceries,337.70
1,2,"[]",Gas,93.89
1,4,"[]",Rent,290.84
1,3,"[]",Internet,65.21
1,4,"[]",Subscription,675.64
1,2,"[]",Gas,851.23
1,4,"[]",Lunch,157.84
1,2,"[]",Lunch,687.49
1,2,"[]",Internet,577.76
1,4,"[]",Electricity Bill,819.75
1,3,"[]",Internet,327.52
1,2,"[]",Gas,135.15
1,2,"[]",Internet,212.04
1,2,"[]",Subscription,667.19
1,1,"[]",Subscription,486.69
1,3,"[]",Groceries,19.74
1,3,"[]",Gas,304.68
1,2,"[]",Subscription,128.81
1,4,"[]",Internet,553.53
1,3,"[]",Internet,136.19
1,3,"[]",Groceries,381.47
1,4,"[]",Shopping,675.61
1,3,"[]",Subscription,26.00
1,4,"[]",Subscription,622.06
1,2,"[]",Rent,101.52
1,4,"[]",Dinner,971.42
1,1,"[]",Transport,808.22
1,3,"[]",Transport,535.18
1,2,"[]",Subscription,829.83
1,1,"[]",Transport,64.19
1,2,"[]",Dinner,978.16
1,3,"[]",Electricity Bill,41.96
1,1,"[]",Internet,540.62
1,3,"[]",Gas,957.56
1,2,"[]",Gas,389.18
1,1,"[]",Subscription,252.35
1,2,"[]",Transport,159.57
1,2,"[]",Subscription,354.24
1,4,"[]",Gas,969.81
1,1,"[]",Rent,852.15
